Genre,programCode,programName,textColor,backgroundColor2
REGGAE,BSW,BSW REGGAE 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
REGGAE,BSB,BSB REGGAE 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
ROCK,BB2,BB2 ROCK 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ROCK,BB2,BB2 ROCK 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ROCK,BB3,BB3 ROCK 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
ROCK,BB3,BB3 ROCK 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
ROCK,BSW,BSW ROCK 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
ROCK,BSL,BSL ROCK 1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
ROCK,BSB,BSB ROCK 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
METAL,BB2,BB2 METAL 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
METAL,BB2,BB2 METAL 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
METAL,BSWi,BSWi METAL 1,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
SOUL,BB2,BB2 SOUL 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SOUL,BB2,BB2 SOUL 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SOUL,BB3,BB3 SOUL 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
SOUL,BSW,BSW SOUL 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
R&B,BB2,BB2 R&B 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
R&B,BB2,BB2 R&B 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
R&B,BSW,BSW R&B 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
UNPLUGGED,BB2,BB2 UPGD 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
UNPLUGGED,BB2,BB2 UPGD 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
UNPLUGGED,BB2,BB2 UPGD 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
UNPLUGGED,BB3,BB3 UPGD 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
WORLD,BB3,BB3 WORLD 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
ARTIST,BB1,BB1 DVGT,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
ARTIST,BB1,BB1 QUEEN,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
ARTIST,BB1,BB1 TSFT,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
ARTIST,BB2,BB2 1D,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 ADELE,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 ARGD,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 AVICII,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BEYONCE,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BMLY,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BNJV,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BRMS,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BRMS 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BTLS,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BTLS 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 BTLS 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 CDPY,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 CDPY 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 CHARLI,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 CSBW,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
